onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
8.421834	0.795766	city	7	1	0.598914	0.598914	0	1	0	0	CorrectCommission	0.109372	0.109372	1
9.217645	0.795855	city	5	1	0.502620	0.502620	0	1	0	0	CorrectCommission	0.525782	0.196191	1
10.013425	0.795705	city	1	1	0.449716	0.449716	0	1	0	0	CorrectCommission	0.754555	0.280125	1
10.809208	0.795861	mountain	2	1	0.362275	0.362275	0	0	1	0	CommissionError	1.132684	0.358673	1
11.605027	0.795777	city	6	1	0.363400	0.363400	0	1	0	0	CorrectCommission	1.127818	0.430032	1
12.400972	0.796114	city	2	1	0.408154	0.408154	0	1	0	0	CorrectCommission	0.934285	0.493299	1
13.196761	0.795464	city	10	1	0.406440	0.406440	0	1	0	0	CorrectCommission	0.941698	0.548509	1
13.992393	0.795799	city	9	1	0.649353	0.649353	0	1	0	0	CorrectCommission	0.108745	0.596522	1
14.788235	0.795884	city	2	1	0.550017	0.550017	0	1	0	0	CorrectCommission	0.320818	0.638820	1
15.584209	0.796067	city	6	1	0.499364	0.499364	0	1	0	0	CorrectCommission	0.539862	0.677131	1
16.380129	0.795770	city	10	1	0.456592	0.456592	0	1	0	0	CorrectCommission	0.724824	0.713166	1
17.175791	0.795555	city	6	1	0.500075	0.500075	0	1	0	0	CorrectCommission	0.536788	0.748336	1
17.971437	0.795739	city	3	1	0.549180	0.549180	0	1	0	0	CorrectCommission	0.324441	0.783591	1
18.767239	0.795862	city	9	1	0.450517	0.450517	0	1	0	0	CorrectCommission	0.751093	0.819284	0
19.563068	0.795800	city	3	1	0.359523	0.359523	0	1	0	0	CorrectCommission	1.144584	0.855129	0
20.359009	0.796082	city	6	1	0.353565	0.353565	0	1	0	0	CorrectCommission	1.170350	0.890300	0
21.154818	0.795536	city	5	1	0.365175	0.365175	0	1	0	0	CorrectCommission	1.120142	0.923604	0
21.950470	0.795766	city	7	1	0.399862	0.399862	0	1	0	0	CorrectCommission	0.970145	0.953585	0
