participants_id	sub_id	dprime	criterion	VTC	CE	OE	FD
sub-001	YC103_dicom	3.4008	0.99871	0.66699	0.24246	0.0067947	0.071020365
sub-002	YC104_dicom	3.0447	0.61575	0.754	0.18595	0.027281	0.180019473
sub-003	YC105_dicom	3.9902	1.0487	0.77131	0.18638	0.00060168	0.1057622
sub-004	YC106_dicom	3.0584	0.53149	0.73385	0.16087	0.020944	0.110411769
sub-005	YC107_dicom	2.583	1.2646	0.7848	0.48934	0.0054746	0.102358302
sub-006	YC108_dicom	4.2645	0.84053	0.75624	0.099078	0.0012279	0.132482761
sub-007	YC109_dicom	4.1331	0.90342	0.73591	0.12378	0.0012392	0.07299196
sub-008	YC110_dicom	1.8261	0.37254	0.78761	0.29482	0.10102	0.082295277
sub-009	YC111_dicom	2.8557	1.1294	0.69571	0.38687	0.005438	0.116897836
sub-010	YC112_dicom	3.0891	0.83558	0.67931	0.24217	0.015674	0.161130897
sub-011	YC114_dicom	2.5486	0.69744	0.79183	0.28724	0.027541	0.067175848
sub-012	YC115_dicom	4.1379	0.37496	0.71123	0.04555	0.0081144	0.09623062
sub-013	YC116_dicom	2.1411	0.6661	0.76861	0.34376	0.064743	0.059243287
sub-014	YC117_dicom	1.7852	0.80791	0.78964	0.46655	0.057947	0.071497957
sub-015	YC118_dicom	2.6526	0.98048	0.71436	0.36735	0.017233	0.075411294
sub-016	YC119_mgz	2.4601	0.73048	0.77072	0.30913	0.027774	0.048963812
