onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.686158	1.346121	city	3	1	1.192843	1.192843	0	1	0	0	CorrectCommission	0.127849	0.127849	1	0	69
1.999065	1.279693	city	5	1	1.180240	1.180240	0	1	0	0	CorrectCommission	0.208408	0.252267	1	0	69
3.291940	1.306057	city	10	1	1.195498	1.195498	0	1	0	0	CorrectCommission	0.110881	0.377728	1	0	69
4.591519	1.293101	city	5	1	1.190531	1.190531	0	1	0	0	CorrectCommission	0.142628	0.504820	1	0	69
5.891188	1.306236	city	7	1	1.100720	1.100720	0	1	0	0	CorrectCommission	0.716688	0.633260	1	0	69
7.184001	1.279392	city	5	1	1.121663	1.121663	0	1	0	0	CorrectCommission	0.582820	0.761675	0	0	69
8.463513	1.279632	city	4	1	1.177109	1.177109	0	1	0	0	CorrectCommission	0.228421	0.887617	0	0	69
9.743139	1.279620	mountain	8	0	0.000000	1.130508	1	0	0	0	CorrectOmission	0.526289	1.007699	0	0	69
11.022780	1.279662	city	4	0	0.000000	1.024396	0	0	0	1	OmissionError	1.204540	1.118015	0	0	69
12.309077	1.292933	city	2	1	0.901311	0.901311	0	1	0	0	CorrectCommission	1.991286	1.214630	0	0	69
13.601962	1.292836	city	3	1	0.803787	0.803787	0	1	0	0	CorrectCommission	2.614644	1.294201	0	0	69
14.894768	1.292775	city	1	1	0.870413	0.870413	0	1	0	0	CorrectCommission	2.188781	1.354401	0	0	69
16.194374	1.306437	city	3	1	1.758268	1.758268	0	1	0	0	CorrectCommission	3.486277	1.394265	0	0	69
17.487354	1.279525	city	4	1	1.334718	1.334718	0	1	0	0	CorrectCommission	0.778998	1.414209	0	0	69
18.766922	1.279611	city	2	1	1.123544	1.123544	0	1	0	0	CorrectCommission	0.570801	1.415995	0	0	69
20.046429	1.279401	city	7	1	1.077082	1.077082	0	1	0	0	CorrectCommission	0.867777	1.402286	0	0	69
21.339249	1.306238	city	8	1	0.911407	0.911407	0	1	0	0	CorrectCommission	1.926753	1.376310	0	0	69
22.632158	1.279581	city	2	1	1.039192	1.039192	0	1	0	0	CorrectCommission	1.109970	1.341469	0	0	69
23.911737	1.279580	city	5	1	1.017880	1.017880	0	1	0	0	CorrectCommission	1.246193	1.301015	0	0	69
25.191410	1.279763	city	7	1	0.860972	0.860972	0	1	0	0	CorrectCommission	2.249124	1.257776	0	0	69
26.477652	1.292722	city	5	1	0.967165	0.967165	0	1	0	0	CorrectCommission	1.570351	1.213992	0	0	69
27.763887	1.279748	mountain	8	0	0.000000	1.137648	1	0	0	0	CorrectOmission	0.480646	1.171330	0	0	69
29.043467	1.279409	city	8	1	1.235551	1.235551	0	1	0	0	CorrectCommission	0.145138	1.130872	0	0	69
30.323051	1.279761	city	4	1	1.124004	1.124004	0	1	0	0	CorrectCommission	0.567857	1.093128	0	0	69
31.602682	1.279502	city	7	1	1.021410	1.021410	0	1	0	0	CorrectCommission	1.223630	1.058198	0	0	69
32.888916	1.292963	city	5	1	0.877278	0.877278	0	1	0	0	CorrectCommission	2.144900	1.025888	0	0	69
34.188473	1.306151	city	7	1	1.049783	1.049783	0	1	0	0	CorrectCommission	1.042272	0.995846	0	0	69
