onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	Reward_trial
8.421726	0.795800	city	10	1	0.854230	0.854230	0	1	0	0	CorrectCommission	2.145747	2.145747	0	1
9.217635	0.796018	city	1	1	0.598944	0.598944	0	1	0	0	CorrectCommission	0.751911	2.124317	0	1
10.013546	0.795803	city	10	1	0.499249	0.499249	0	1	0	0	CorrectCommission	1.883509	2.103381	0	1
10.809239	0.795583	city	3	1	0.449946	0.449946	0	1	0	0	CorrectCommission	2.443137	2.083326	0	1
11.604932	0.795802	city	9	1	0.510701	0.510701	0	1	0	0	CorrectCommission	1.753525	2.064455	0	1
12.400843	0.796020	city	6	1	0.449669	0.449669	0	1	0	0	CorrectCommission	2.446276	2.047039	0	1
13.196754	0.795800	city	10	1	0.499549	0.499549	0	1	0	0	CorrectCommission	1.880112	2.031276	0	1
13.992446	0.795584	city	1	1	0.459862	0.459862	0	1	0	0	CorrectCommission	2.330579	2.017391	0	1
14.788163	0.795850	city	4	1	0.501196	0.501196	0	1	0	0	CorrectCommission	1.861412	2.005649	0	1
15.583966	0.795756	city	2	1	0.499602	0.499602	0	1	0	0	CorrectCommission	1.879505	1.996374	0	1
16.379797	0.795907	city	6	1	0.456163	0.456163	0	1	0	0	CorrectCommission	2.372567	1.989855	0	1
17.175707	0.795910	city	2	1	0.517604	0.517604	0	1	0	0	CorrectCommission	1.675171	1.986272	0	1
17.971455	0.795586	city	7	1	0.549062	0.549062	0	1	0	0	CorrectCommission	1.318107	1.985604	0	1
18.767172	0.795848	city	6	1	0.499464	0.499464	0	1	0	0	CorrectCommission	1.881068	1.987454	0	1
19.563080	0.795971	city	8	1	0.416982	0.416982	0	1	0	0	CorrectCommission	2.817296	1.990939	0	1
20.358858	0.795584	city	3	1	0.511721	0.511721	0	1	0	0	CorrectCommission	1.741950	1.994614	0	1
21.154556	0.795809	mountain	4	1	0.501279	0.501279	0	0	1	0	CommissionError	1.860474	1.996533	0	1
21.950357	0.795795	city	3	1	0.511346	0.511346	0	1	0	0	CorrectCommission	1.746198	1.994257	0	1
22.746191	0.795870	city	7	1	0.551378	0.551378	0	1	0	0	CorrectCommission	1.291813	1.985074	0	1
23.542099	0.795948	city	6	1	0.458109	0.458109	0	1	0	0	CorrectCommission	2.350475	1.966277	0	1
24.337881	0.795615	city	9	1	0.449498	0.449498	0	1	0	0	CorrectCommission	2.448223	1.935434	0	1
25.133682	0.795988	city	6	1	0.351019	0.351019	0	1	0	0	CorrectCommission	3.566017	1.890753	0	1
25.929523	0.795692	city	10	1	0.453165	0.453165	0	1	0	0	CorrectCommission	2.406599	1.831327	0	1
26.725216	0.795696	city	4	1	0.798461	0.798461	0	1	0	0	CorrectCommission	1.512735	1.757355	0	1
27.520966	0.795801	city	3	1	0.510347	0.510347	0	1	0	0	CorrectCommission	1.757540	1.670086	0	1
28.316875	0.796019	city	4	1	0.551990	0.551990	0	1	0	0	CorrectCommission	1.284873	1.571712	0	1
29.112785	0.795800	city	5	1	0.548944	0.548944	0	1	0	0	CorrectCommission	1.319441	1.465184	0	1
29.908531	0.795692	mountain	5	1	0.797593	0.797593	0	0	1	0	CommissionError	1.502879	1.353879	0	1
30.704224	0.795693	city	7	1	0.499843	0.499843	0	1	0	0	CorrectCommission	1.876765	1.241320	0	1
31.499983	0.795827	city	9	1	0.560597	0.560597	0	1	0	0	CorrectCommission	1.187169	1.130834	0	1
32.295841	0.795886	mountain	4	0	0.000000	0.614046	1	0	0	0	CorrectOmission	0.580496	1.025319	0	1
33.091660	0.795751	city	10	1	0.648499	0.648499	0	1	0	0	CorrectCommission	0.189432	0.927041	0	1
33.887405	0.795741	city	4	1	0.652266	0.652266	0	1	0	0	CorrectCommission	0.146666	0.837504	0	1
34.683178	0.795804	city	1	1	0.598878	0.598878	0	1	0	0	CorrectCommission	0.752664	0.757472	0	1
35.479088	0.796019	city	9	1	0.649149	0.649149	0	1	0	0	CorrectCommission	0.182053	0.687062	0	1
36.274891	0.795584	city	3	1	0.550617	0.550617	0	1	0	0	CorrectCommission	1.300455	0.625935	0	1
37.070587	0.795811	city	7	1	0.698408	0.698408	0	1	0	0	CorrectCommission	0.377068	0.573443	1	1
37.866444	0.795900	city	10	1	0.756712	0.756712	0	1	0	0	CorrectCommission	1.038854	0.528926	1	1
38.662292	0.795801	city	8	1	0.710335	0.710335	0	1	0	0	CorrectCommission	0.512452	0.491734	1	1
39.458042	0.795695	city	1	1	0.666896	0.666896	0	1	0	0	CorrectCommission	0.019384	0.461346	1	1
40.253792	0.795803	mountain	10	0	0.000000	0.680888	1	0	0	0	CorrectOmission	0.178203	0.437329	1	1
41.049603	0.795824	city	3	1	0.698519	0.698519	0	1	0	0	CorrectCommission	0.378325	0.419219	1	1
41.845406	0.795782	city	10	1	0.665995	0.665995	0	1	0	0	CorrectCommission	0.009163	0.406486	1	1
42.641232	0.795868	city	1	1	0.667094	0.667094	0	1	0	0	CorrectCommission	0.021631	0.398420	1	1
43.437088	0.795840	city	5	1	0.748500	0.748500	0	1	0	0	CorrectCommission	0.945640	0.394159	1	1
44.232853	0.795692	city	10	1	0.660123	0.660123	0	1	0	0	CorrectCommission	0.057487	0.392734	1	1
45.028652	0.795909	city	9	1	0.648659	0.648659	0	1	0	0	CorrectCommission	0.187608	0.393187	1	1
45.824509	0.795804	city	1	1	0.598900	0.598900	0	1	0	0	CorrectCommission	0.752409	0.394672	1	1
46.620258	0.795695	city	3	1	0.751565	0.751565	0	1	0	0	CorrectCommission	0.980437	0.396621	1	1
47.416115	0.796017	city	10	1	0.648683	0.648683	0	1	0	0	CorrectCommission	0.187343	0.398837	1	1
48.211914	0.795581	city	1	1	0.598679	0.598679	0	1	0	0	CorrectCommission	0.754924	0.401547	1	1
49.007607	0.795802	city	10	1	0.648658	0.648658	0	1	0	0	CorrectCommission	0.187622	0.405342	1	1
49.803516	0.796020	city	3	1	0.664636	0.664636	0	1	0	0	CorrectCommission	0.006263	0.411117	1	1
50.599316	0.795581	city	5	1	0.648429	0.648429	0	1	0	0	CorrectCommission	0.190221	0.419887	1	1
51.395012	0.795807	city	9	1	0.649303	0.649303	0	1	0	0	CorrectCommission	0.180300	0.432610	1	1
52.190819	0.795809	mountain	2	0	0.000000	0.711767	1	0	0	0	CorrectOmission	0.528698	0.450002	1	1
52.986618	0.795792	city	4	1	0.756694	0.756694	0	1	0	0	CorrectCommission	1.038656	0.472384	1	1
53.782471	0.795911	city	2	1	0.704962	0.704962	0	1	0	0	CorrectCommission	0.451458	0.499517	1	1
54.578274	0.795692	city	3	1	0.648537	0.648537	0	1	0	0	CorrectCommission	0.189000	0.530608	1	1
55.374126	0.796020	city	7	1	0.662504	0.662504	0	1	0	0	CorrectCommission	0.030467	0.564197	1	1
56.169987	0.795694	city	10	1	0.667004	0.667004	0	1	0	0	CorrectCommission	0.020609	0.598301	1	1
56.965683	0.795700	city	8	1	0.748574	0.748574	0	1	0	0	CorrectCommission	0.946486	0.630577	0	1
57.761429	0.795792	city	5	1	0.698352	0.698352	0	1	0	0	CorrectCommission	0.376435	0.658572	0	1
58.557224	0.795803	city	10	1	0.750580	0.750580	0	1	0	0	CorrectCommission	0.969251	0.680080	0	1
59.353027	0.795804	city	3	1	0.848291	0.848291	0	1	0	0	CorrectCommission	2.078339	0.693407	0	1
60.148830	0.795799	city	10	1	0.801908	0.801908	0	1	0	0	CorrectCommission	1.551856	0.697629	0	1
60.944641	0.795821	city	1	1	0.702114	0.702114	0	1	0	0	CorrectCommission	0.419137	0.692723	0	1
61.740551	0.796002	city	3	1	0.748128	0.748128	0	1	0	0	CorrectCommission	0.941424	0.679549	0	1
62.536396	0.795691	city	6	1	0.707475	0.707475	0	1	0	0	CorrectCommission	0.479982	0.659608	0	1
63.332199	0.795911	city	2	1	0.648525	0.648525	0	1	0	0	CorrectCommission	0.189129	0.634814	0	1
64.127945	0.795587	city	10	1	0.698356	0.698356	0	1	0	0	CorrectCommission	0.376477	0.607158	1	1
64.923637	0.795798	city	8	1	0.712833	0.712833	0	1	0	0	CorrectCommission	0.540804	0.578436	1	1
65.719498	0.795912	mountain	6	0	0.000000	0.712663	1	0	0	0	CorrectOmission	0.538878	0.550041	1	1
66.515297	0.795689	mountain	9	0	0.000000	0.705345	1	0	0	0	CorrectOmission	0.455804	0.522893	1	1
67.311096	0.795912	city	5	1	0.698374	0.698374	0	1	0	0	CorrectCommission	0.376685	0.497456	1	1
68.107010	0.795917	city	4	1	0.699250	0.699250	0	1	0	0	CorrectCommission	0.386627	0.473832	1	0
68.902817	0.795687	city	5	1	0.702044	0.702044	0	1	0	0	CorrectCommission	0.418337	0.451926	1	0
69.698502	0.795695	city	8	1	0.797772	0.797772	0	1	0	0	CorrectCommission	1.504915	0.431581	1	0
70.494263	0.795822	city	10	1	0.662312	0.662312	0	1	0	0	CorrectCommission	0.032642	0.412670	1	0
