subid,state,dwell time task,dwell time rest,RT variance,RT,dprime
sub-001,1,49.44665781,48.7012987,0.767219582,0.850470688,3.262463515
sub-002,1,51.77187154,50.53191489,0.798592596,0.797149366,2.804122597
sub-003,1,47.56367663,50.53191489,0.77668053,0.735435497,4.246711805
sub-004,1,47.39756368,56.91489362,0.763064891,0.764324625,3.105412589
sub-005,1,49.44629014,61.17021277,0.745692377,0.62101237,2.780520794
sub-006,1,48.00664452,50.53191489,0.799964255,0.764256183,4.569976986
sub-007,1,50.16611296,53.19148936,0.761518499,0.697193109,4.398659082
sub-008,1,49.83388704,51.59574468,0.78939104,0.805669078,1.709456067
sub-009,1,48.0620155,57.9787234,0.768352737,0.604369719,3.04468117
sub-010,1,50.27685493,50,0.751512235,0.736582578,2.776331267
sub-011,1,50.55370986,54.25531915,0.787819285,0.710979376,2.645187009
sub-012,1,48.78183832,50,0.747859809,0.747456092,4.271482699
sub-013,1,47.23145072,55.31914894,0.762853916,0.746059388,2.137533458
sub-014,1,51.38427464,59.04255319,0.803377789,0.790562684,1.559265266
sub-015,1,49.75206612,53.72340426,0.725113359,0.679587364,2.721474794
sub-016,1,47.95127353,54.25531915,0.756967711,0.838979184,2.514602547
sub-001,2,50.55334219,51.2987013,0.758977126,0.850673598,3.095548358
sub-002,2,48.22812846,49.46808511,0.790137963,0.804914299,2.846100576
sub-003,2,52.43632337,49.46808511,0.809443547,0.729958439,4.036524935
sub-004,2,52.60243632,43.08510638,0.758365425,0.762646233,3.012140522
sub-005,2,50.55370986,38.82978723,0.796595754,0.627747749,2.415688886
sub-006,2,51.99335548,49.46808511,0.788161805,0.761665767,4.146375503
sub-007,2,49.83388704,46.80851064,0.751349353,0.712986222,3.958989391
sub-008,2,50.16611296,48.40425532,0.808685074,0.806267221,1.925154321
sub-009,2,51.9379845,42.0212766,0.727618943,0.617183382,2.800129706
sub-010,2,49.72314507,50,0.755632986,0.746185282,2.923225176
sub-011,2,49.44629014,45.74468085,0.805816568,0.719807546,2.352848009
sub-012,2,51.21816168,50,0.775139649,0.753792663,4.032026781
sub-013,2,52.76854928,44.68085106,0.780522203,0.746193412,1.788354007
sub-014,2,48.61572536,40.95744681,0.808151214,0.77119351,1.7332994
sub-015,2,50.24793388,46.27659574,0.809850871,0.689685593,2.217986764
sub-016,2,52.04872647,45.74468085,0.761572643,0.833350376,2.344980082
