sub-id,state,dwell time,RT variance,RT,dprime,mind wandering
sub-230,1,50.27777778,0.785207399,1.247590022,2.66807367,39.72956419
sub-231,1,50.06944444,0.770708756,1.291223777,2.98183053,24.34989786
sub-232,1,48.47222222,0.742532059,0.943632136,3.037262858,44.11657067
sub-233,1,46.73611111,0.764077835,1.167536389,2.544554893,40.5259722
sub-234,1,50.90277778,0.729188139,1.092181641,3.294611037,34.11114643
sub-235,1,50.76388889,0.774742698,1.161089316,3.928045797,42.9564384
sub-236,1,47.5,0.821700288,1.265221294,2.891010261,53.65714031
sub-237,1,49.23611111,0.789478429,1.412669533,3.177854157,57.97895212
sub-238,1,49.375,0.754876301,1.298788266,3.509206981,42.23557402
sub-239,1,49.375,0.785588346,1.378073543,1.987533363,70.20471759
sub-240,1,47.84722222,0.809911269,1.317628967,1.204418552,41.86298932
sub-241,1,49.09722222,0.831963137,1.278466407,2.174723362,36.36390232
sub-242,1,46.94444444,0.786165166,1.245013873,3.267506198,52.6958316
sub-243,1,47.98611111,0.756507043,1.202954414,3.131808267,46.73563912
sub-244,1,45,0.781067208,1.176253059,3.42857411,80.17946576
sub-245,1,48.75,0.767494232,1.27308312,3.19440352,43.64771523
sub-246,1,47.70833333,0.767456297,1.284009761,2.230114194,55.40928876
sub-247,1,51.80555556,0.752046835,1.403821217,3.326338054,23.87969513
sub-248,1,48.40277778,0.751371584,1.06223006,2.609732439,44.04131796
sub-230,2,49.72222222,0.795189976,1.252712068,2.84113494,39.08560828
sub-231,2,49.93055556,0.800113268,1.290391759,3.249103457,23.94606904
sub-232,2,51.52777778,0.751444569,1.023346867,2.581493716,45.22794296
sub-233,2,53.26388889,0.803463874,1.182844579,2.030425359,40.33444682
sub-234,2,49.09722222,0.802390996,1.137586959,3.151673542,35.45690192
sub-235,2,49.23611111,0.796529824,1.162335532,3.603950033,43.2078188
sub-236,2,52.5,0.845910085,1.263433021,3.12137848,53.01126459
sub-237,2,50.76388889,0.806912389,1.452190525,2.910478524,58.4739028
sub-238,2,50.625,0.781566244,1.315961966,3.607922659,42.46708761
sub-239,2,50.625,0.804530376,1.419232704,1.852675936,68.84971988
sub-240,2,52.15277778,0.8325971,1.329264874,1.120826099,41.09707105
sub-241,2,50.90277778,0.833799179,1.276847382,2.030730081,35.61285276
sub-242,2,53.05555556,0.785718191,1.279956037,2.940799992,52.84177728
sub-243,2,52.01388889,0.82361698,1.22333145,2.842394788,47.22119275
sub-244,2,55,0.817021374,1.196262404,3.254710927,79.8203361
sub-245,2,51.25,0.764369356,1.305272163,2.931160493,45.2409267
sub-246,2,52.29166667,0.817506749,1.314492264,2.008750311,58.25938729
sub-247,2,48.19444444,0.820833519,1.419155434,3.725214898,24.52989543
sub-248,2,51.59722222,0.785041478,1.071390678,2.294218053,45.57294937
