sub_id,STATE,REWARD,dwell time,VTC,RT,dprime
sub-401,State 1,Reward,48.80478088,0.757173263,0.709076065,3.621514424
sub-402,State 1,Reward,47.45874587,0.740233305,0.654983074,3.304392229
sub-403,State 1,Reward,50.92715232,0.687622346,0.664416189,3.042631696
sub-404,State 1,Reward,47.15231788,0.68346156,0.760518309,3.993677754
sub-405,State 1,Reward,48.44884488,0.718103368,0.682071732,4.101745388
sub-406,State 1,Reward,48.83977901,0.800147975,0.730902848,3.361719897
sub-407,State 1,Reward,50.46357616,0.701655028,0.639750314,4.282857309
sub-408,State 1,Reward,48.40425532,0.708893617,0.630159326,4.902648036
sub-409,State 1,Reward,51.41914191,0.690106377,0.615089017,4.552651007
sub-410,State 1,Reward,45.94414894,0.636101726,0.663482975,3.826653092
sub-411,State 1,Reward,45.7615894,0.557762172,0.720647372,2.799187574
sub-412,State 1,Reward,47.48344371,0.625319406,0.630783582,3.492292094
sub-413,State 1,Reward,47.65676568,0.731651922,0.704303084,4.54315464
sub-414,State 1,Reward,49.04290429,0.71249117,0.72940186,4.221967584
sub-415,State 1,Reward,46.94214876,0.743148687,0.630713688,3.662384747
sub-416,State 1,Reward,51.73553719,0.696542597,0.743935396,3.502899086
sub-401,State 2,Reward,51.19521912,0.737592435,0.724318326,3.843573211
sub-402,State 2,Reward,52.54125413,0.769633577,0.673658291,4.101594357
sub-403,State 2,Reward,49.07284768,0.719304138,0.659760466,3.405734184
sub-404,State 2,Reward,52.84768212,0.741451138,0.755573038,3.581504395
sub-405,State 2,Reward,51.55115512,0.761582839,0.691345853,4.097382339
sub-406,State 2,Reward,51.16022099,0.784284158,0.772911486,3.162291448
sub-407,State 2,Reward,49.53642384,0.695949393,0.652556908,3.989942502
sub-408,State 2,Reward,51.59574468,0.770531771,0.649864802,4.633979242
sub-409,State 2,Reward,48.58085809,0.697379427,0.62278983,3.873733953
sub-410,State 2,Reward,54.05585106,0.739017674,0.682759342,3.711951867
sub-411,State 2,Reward,54.2384106,0.57985857,0.734134073,3.152575765
sub-412,State 2,Reward,52.51655629,0.60090085,0.639968928,3.386979944
sub-413,State 2,Reward,52.34323432,0.780874458,0.714380188,4.267147613
sub-414,State 2,Reward,50.95709571,0.758530113,0.741862563,3.955532089
sub-415,State 2,Reward,53.05785124,0.779798201,0.63559021,3.21143949
sub-416,State 2,Reward,48.26446281,0.752088178,0.761142711,3.128658416
sub-401,State 1,nonReward,49.20212766,0.820521039,0.709152419,3.24527278
sub-402,State 1,nonReward,50,0.779002577,0.618715052,3.56258606
sub-403,State 1,nonReward,48.51485149,0.796815517,0.660192431,2.661690165
sub-404,State 1,nonReward,52.14521452,0.791548197,0.749439873,3.316834751
sub-405,State 1,nonReward,49.86754967,0.800558818,0.661708185,3.835836401
sub-406,State 1,nonReward,49.78021978,0.793440841,0.699429152,3.193695882
sub-407,State 1,nonReward,51.28712871,0.737578842,0.626371875,3.962714677
sub-408,State 1,nonReward,48.73837981,0.794406405,0.611053166,4.031555913
sub-409,State 1,nonReward,49.73509934,0.739211257,0.590852165,3.025731039
sub-410,State 1,nonReward,50,0.801069878,0.657152981,3.198590899
sub-411,State 1,nonReward,49.5709571,0.781765589,0.750740481,1.763805836
sub-412,State 1,nonReward,49.9669967,0.860530703,0.640955326,3.274318945
sub-413,State 1,nonReward,51.9205298,0.804474684,0.693369136,3.811201646
sub-414,State 1,nonReward,50.26490066,0.807300794,0.715078109,4.273583211
sub-415,State 1,nonReward,51.48760331,0.754643438,0.629100533,3.28740579
sub-416,State 1,nonReward,50.5785124,0.755543711,0.761254296,3.270485759
sub-401,State 2,nonReward,50.79787234,0.822982211,0.720811483,3.150686527
sub-402,State 2,nonReward,50,0.840855711,0.625614543,3.240362395
sub-403,State 2,nonReward,51.48514851,0.83135694,0.684780832,2.531915302
sub-404,State 2,nonReward,47.85478548,0.83249196,0.776377923,2.954750056
sub-405,State 2,nonReward,50.13245033,0.804310734,0.681798631,3.139210656
sub-406,State 2,nonReward,50.21978022,0.81440053,0.739538613,2.864252475
sub-407,State 2,nonReward,48.71287129,0.852620114,0.646925075,3.811917082
sub-408,State 2,nonReward,51.26162019,0.817438359,0.632255872,3.728345859
sub-409,State 2,nonReward,50.26490066,0.846489945,0.599880414,2.352917379
sub-410,State 2,nonReward,50,0.800055558,0.666231429,3.012066705
sub-411,State 2,nonReward,50.4290429,0.833462177,0.762117903,1.439612321
sub-412,State 2,nonReward,50.0330033,0.873529463,0.654995993,2.065917107
sub-413,State 2,nonReward,48.0794702,0.839944526,0.704707313,4.040020359
sub-414,State 2,nonReward,49.73509934,0.85024233,0.731359814,3.128921835
sub-415,State 2,nonReward,48.51239669,0.791571821,0.638853363,2.959560649
sub-416,State 2,nonReward,49.4214876,0.867036696,0.748129788,2.442270332
